bsu,-116.204014 43.597462|-116.214285 43.60806|-116.259264 43.605701|-116.228278 43.630913|-116.191 43.5885|-116.176234 43.610842|-116.202929 43.597549|-116.214844 43.595911|-116.244261 43.595448|-116.226204 43.630292|-116.215611 43.601154|-116.177899 43.583217|-116.224875 43.584985|-116.2052 43.6322|-116.213057 43.609436|-116.231918 43.5968|-116.194875 43.593305|-116.242282 43.60521|-116.188223 43.606452|-116.2191 43.5851|-116.192241 43.598423|-116.18974 43.598843|-116.185566 43.603481|-116.223807 43.606577|-116.221383 43.588209|-116.1975 43.59399|-116.244859 43.609805|-116.1649 43.6023|-116.221108 43.582536|-116.259255 43.605732|-116.205654 43.614112|-116.18969 43.607074|-116.188754 43.606702|-116.19765 43.591271|-116.198608 43.595861|-116.21501 43.576505|-116.212702 43.609176|-116.205832 43.61682|-116.212006 43.603516|-116.203912 43.597388|-116.22849 43.610827|-116.197082 43.612986|-116.206341 43.601838|-116.217378 43.588589|-116.192586 43.610245|-116.192227 43.599653|-116.208612 43.593007|-116.172257 43.568813|-116.205525 43.613957|-116.20574 43.614019|-116.209302 43.583406|-116.182643 43.595806|-116.211714 43.60428|-116.203564 43.593926|-116.199842 43.598413|-116.234744 43.612498|-116.213352 43.607809|-116.190745 43.589479|-116.19487 43.597088|-116.205826 43.597487|-116.180592 43.608612|-116.259634 43.60634|-116.259695 43.606094|-116.205354 43.601143|-116.25999 43.620013|-116.196862 43.613409|-116.21367 43.587346|-116.222363 43.590653|-116.191235 43.597689|-116.198609 43.592935|-116.198608 43.593248|-116.189792 43.59716|-116.199207 43.598415|-116.21686 43.641667|-116.193605 43.597141|-116.198455 43.596399|-116.21093 43.602163|-116.212623 43.57716|-116.222928 43.633916|-116.251745 43.650827|-116.253666 43.596826|-116.191779 43.624651|-116.196131 43.598419|-116.177866 43.584165|-116.186912 43.604122|-116.200823 43.582125|-116.196119 43.594581|-116.182202 43.595807|-116.199844 43.598205|-116.176815 43.584743|-116.266862 43.61417|-116.226103 43.58782|-116.204492 43.602896|-116.20872 43.593497|-116.21097 43.5951|-116.189713 43.59833|-116.189046 43.584261|-116.197554 43.592646|-116.214918 43.587115|-116.180549 43.604293|-116.222688 43.587296|-116.198638 43.583648|-116.189346 43.584386|-116.215347 43.615817|-116.206105 43.602467|-116.224837 43.592359|-116.211598 43.576367|-116.206068 43.600683|-116.228528 43.608379|-116.208508 43.594628|-116.196716 43.615608|-116.222481 43.625418|-116.243583 43.578904|-116.19861 43.591919|-116.203551 43.596617|-116.183643 43.586585|-116.239686 43.652876|-116.211903 43.606549|-116.227745 43.603951|-116.227322 43.583659|-116.213314 43.631187|-116.203079 43.589717|-116.256895 43.586624|-116.238441 43.606126|-116.191053 43.587668|-116.213699 43.590054|-116.221108 43.5825|-116.178252 43.606288|-116.162825 43.573986|-116.186857 43.612527|-116.186492 43.605303|-116.232305 43.587028|-116.181559 43.579539|-116.200549 43.611056|-116.175656 43.586235|-116.175458 43.58291|-116.198608 43.59379|-116.188952 43.602632|-116.197114 43.595032|-116.163469 43.573746|-116.197109 43.586693|-116.159825 43.575006|-116.189537 43.587683|-116.246982 43.601776
karcher mall,-116.5848 43.5834|-116.536 43.5937|-116.603678 43.580436|-116.750776 43.708009|-116.627254 43.619052
treasure valley,-116.379155 43.715474|-116.4306 43.6498|-116.207039 43.631272|-116.398886 43.626957|-116.358427 43.645632|-116.205273 43.639746|-116.362102 43.585287|-116.36249 43.597246|-116.360643 43.585955|-116.360235 43.586157|-116.360815 43.584712|-116.361952 43.585287|-116.479441 43.735664|-116.374469 43.561193|-116.362 43.7069|-116.149311 43.58842|-116.431732 43.614267|-116.367283 43.598908|-116.282505 43.629878|-116.249776 43.621853|-116.292515 43.591582
banbury,-116.377745 43.674126|-116.328928 43.707299|-116.377573 43.674421|-116.362 43.7069
ann morrison,-116.226597 43.608239|-116.22849 43.610827|-116.212702 43.609176|-116.228528 43.608379
the treasure valley,-116.379155 43.715474|-116.4306 43.6498|-116.207039 43.631272|-116.398886 43.626957|-116.358427 43.645632|-116.362102 43.585287|-116.36249 43.597246|-116.360643 43.585955|-116.360235 43.586157|-116.360815 43.584712|-116.361952 43.585287|-116.479441 43.735664|-116.374469 43.561193|-116.362 43.7069|-116.149311 43.58842|-116.367283 43.598908|-116.202521 43.625172|-116.603678 43.580436|-116.282505 43.629878|-116.249776 43.621853
greenbelt,-116.184961 43.595615|-116.195422 43.608929|-116.25099 43.650512|-116.214285 43.60806|-116.333705 43.624918|-116.259264 43.605701|-116.228278 43.630913|-116.257261 43.650733|-116.214844 43.595911|-116.184626 43.604961|-116.310874 43.680468|-116.188793 43.60271|-116.226204 43.630292|-116.177899 43.583217|-116.17115 43.602087|-116.2052 43.6322|-116.213057 43.609436|-116.212702 43.609176|-116.281877 43.660572|-116.204807 43.598032|-116.162942 43.571802|-116.212731 43.612959|-116.185566 43.603481|-116.176424 43.593172|-116.184503 43.604712|-116.2524 43.6601|-116.30805 43.677013|-116.186278 43.603034|-116.291227 43.67737|-116.259255 43.605732|-116.172186 43.591213|-116.18969 43.607074|-116.188754 43.606702|-116.153834 43.575098|-116.280327 43.669982|-116.177877 43.596549|-116.223035 43.642473|-116.142654 43.574017|-116.143631 43.573092|-116.262973 43.645834|-116.291721 43.659319|-116.212732 43.60903|-116.180192 43.609299|-116.191 43.5885|-116.188316 43.603796|-116.192227 43.599653|-116.238142 43.640157|-116.205525 43.613957|-116.20574 43.614019|-116.182643 43.595806|-116.16364 43.575043|-116.213352 43.607809|-116.205869 43.614205|-116.218352 43.623641|-116.259634 43.60634|-116.259695 43.606094|-116.205933 43.614283|-116.146832 43.526529|-116.189792 43.59716|-116.214248 43.608122|-116.195658 43.615072|-116.136335 43.562287|-116.281378 43.664705|-116.177287 43.60782|-116.2191 43.5851|-116.181848 43.57598|-116.240019 43.636584|-116.251745 43.650827|-116.172604 43.576942|-116.186912 43.604122|-116.175034 43.605287|-116.180849 43.595187|-116.201569 43.615795|-116.199844 43.598205|-116.176815 43.584743|-116.287459 43.548783|-116.288571 43.665497|-116.235523 43.624023|-116.143041 43.542949|-116.205804 43.602506|-116.214918 43.587115|-116.180549 43.604293|-116.222464 43.62273|-116.215347 43.615817|-116.227361 43.628198|-116.135294 43.562186|-116.206068 43.600683|-116.208508 43.594628|-116.226065 43.639111|-116.184236 43.611636|-116.253077 43.635114|-116.19861 43.591919|-116.227028 43.636482|-116.162821 43.574101|-116.1649 43.6023|-116.250911 43.650578|-116.191053 43.587668|-116.229258 43.627067|-116.301558 43.679476|-116.184956 43.59001|-116.287073 43.660082|-116.178252 43.606288|-116.162825 43.573986|-116.143556 43.573458|-116.200549 43.611056|-116.241682 43.613537|-116.279898 43.675104|-116.177193 43.612894|-116.188952 43.602632|-116.163469 43.573746|-116.159825 43.575006|-116.226237 43.630266|-116.239826 43.636831|-116.219065 43.624675
meridian high school,-116.42493 43.61332|-116.388613 43.626306|-116.419158 43.612201|-116.406562 43.623287
charter pointe,-116.302364 43.538161|-116.302718 43.535351|-116.302739 43.535343|-116.304455 43.534746
central ac,-116.244261 43.595448|-116.19765 43.591271|-116.371822 43.590291|-116.536 43.5937|-116.218352 43.623641|-116.4927 43.9089|-116.3975 43.615|-116.33886 43.629036|-116.238956 43.58381|-116.561458 43.56985|-116.404953 43.620745|-116.221704 43.644274|-116.2052 43.6322|-116.245165 43.582552|-116.197114 43.595032
